"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2009","2,400.00","2,400.00","2,400.00","2,400.00","-","1.05%"
"Dec 30, 2009","2,375.00","2,375.00","2,375.00","2,375.00","-","0.00%"
"Dec 23, 2009","2,375.00","2,375.00","2,375.00","2,375.00","-","1.06%"
"Dec 18, 2009","2,350.00","2,350.00","2,350.00","2,350.00","-","1.08%"
"Dec 17, 2009","2,325.00","2,325.00","2,325.00","2,325.00","-","9.41%"
"Dec 16, 2009","2,125.00","2,125.00","2,125.00","2,125.00","-","2.41%"
"Dec 14, 2009","2,075.00","2,075.00","2,075.00","2,075.00","-","0.00%"
"Dec 11, 2009","2,075.00","2,075.00","2,075.00","2,075.00","-","-1.19%"
"Dec 10, 2009","2,100.00","2,100.00","2,100.00","2,100.00","-","-4.55%"
"Dec 09, 2009","2,200.00","2,200.00","2,200.00","2,200.00","-","-2.22%"
"Dec 07, 2009","2,250.00","2,250.00","2,250.00","2,250.00","-","-5.26%"
"Dec 04, 2009","2,375.00","2,375.00","2,375.00","2,375.00","-","-3.06%"
"Dec 03, 2009","2,450.00","2,450.00","2,450.00","2,450.00","-","-4.85%"
"Dec 02, 2009","2,575.00","2,575.00","2,575.00","2,575.00","-","-2.83%"
"Dec 01, 2009","2,650.00","2,650.00","2,650.00","2,650.00","-","-1.85%"
"Nov 26, 2009","2,700.00","2,700.00","2,700.00","2,700.00","-","0.00%"
"Nov 25, 2009","2,700.00","2,700.00","2,700.00","2,700.00","-","0.93%"
"Nov 24, 2009","2,675.00","2,675.00","2,675.00","2,675.00","-","0.94%"
"Nov 23, 2009","2,650.00","2,650.00","2,650.00","2,650.00","-","0.95%"
"Nov 20, 2009","2,625.00","2,625.00","2,625.00","2,625.00","-","5.00%"
"Nov 19, 2009","2,500.00","2,500.00","2,500.00","2,500.00","-","3.09%"
"Nov 18, 2009","2,425.00","2,425.00","2,425.00","2,425.00","-","2.11%"
"Nov 17, 2009","2,375.00","2,375.00","2,375.00","2,375.00","-","2.15%"
"Nov 16, 2009","2,325.00","2,325.00","2,325.00","2,325.00","-","13.41%"
"Nov 12, 2009","2,050.00","2,050.00","2,050.00","2,050.00","-","5.40%"
"Nov 09, 2009","1,945.00","1,945.00","1,945.00","1,945.00","-","2.37%"
"Nov 04, 2009","1,900.00","1,900.00","1,900.00","1,900.00","-","2.70%"
"Oct 28, 2009","1,850.00","1,850.00","1,850.00","1,850.00","-","0.00%"
"Oct 27, 2009","1,850.00","1,850.00","1,850.00","1,850.00","-","2.78%"
"Oct 23, 2009","1,800.00","1,800.00","1,800.00","1,800.00","-","2.86%"
"Oct 21, 2009","1,750.00","1,750.00","1,750.00","1,750.00","-","2.94%"
"Oct 20, 2009","1,700.00","1,700.00","1,700.00","1,700.00","-","1.49%"
"Oct 14, 2009","1,675.00","1,675.00","1,675.00","1,675.00","-","1.52%"
"Oct 13, 2009","1,650.00","1,650.00","1,650.00","1,650.00","-","3.13%"
"Oct 12, 2009","1,600.00","1,600.00","1,600.00","1,600.00","-","0.00%"
"Oct 09, 2009","1,600.00","1,600.00","1,600.00","1,600.00","-","3.23%"
"Oct 05, 2009","1,550.00","1,550.00","1,550.00","1,550.00","-","0.00%"
"Sep 30, 2009","1,550.00","1,550.00","1,550.00","1,550.00","-","0.00%"
"Sep 29, 2009","1,550.00","1,550.00","1,550.00","1,550.00","-","0.00%"
"Sep 28, 2009","1,550.00","1,550.00","1,550.00","1,550.00","-","0.00%"
"Sep 16, 2009","1,550.00","1,550.00","1,550.00","1,550.00","-","0.00%"
"Sep 15, 2009","1,550.00","1,550.00","1,550.00","1,550.00","-","0.00%"
"Sep 10, 2009","1,550.00","1,550.00","1,550.00","1,550.00","-","0.00%"
