Date,Open,High,Low,Close,Adj Close,Volume
2005-11-02,220.630005,225.130005,220.630005,225.020004,225.020004,198800
2005-11-03,225.059998,226.410004,221.080002,221.929993,221.929993,164200
2005-11-04,221.949997,223.639999,218.649994,220.770004,220.770004,143600
2005-11-07,220.770004,223.020004,219.820007,221.729996,221.729996,154200
2005-11-08,221.949997,223.139999,220.740005,221.369995,221.369995,123200
2005-11-09,221.419998,227.669998,221.419998,227.639999,227.639999,194000
2005-11-10,227.699997,229.559998,224.320007,225.570007,225.570007,161200
2005-11-11,225.649994,231.789993,224.600006,231.779999,231.779999,185000
2005-11-14,231.839996,231.839996,228.460007,228.750000,228.750000,131400
2005-11-15,228.740005,230.169998,224.679993,224.690002,224.690002,150400
2005-11-16,224.720001,237.509995,224.720001,237.509995,237.509995,345400
2005-11-17,237.669998,242.289993,237.669998,241.139999,241.139999,265800
2005-11-18,241.250000,241.929993,237.149994,239.690002,239.690002,160600
2005-11-21,239.750000,245.479996,239.679993,245.479996,245.479996,182400
2005-11-22,245.350006,248.139999,242.669998,247.610001,247.610001,258000
2005-11-23,247.419998,247.419998,241.750000,241.759995,241.759995,163400
2005-11-25,241.759995,247.039993,241.759995,246.470001,246.470001,70000
2005-11-28,246.699997,248.720001,245.699997,246.330002,246.330002,158800
2005-11-29,246.320007,246.320007,243.160004,244.630005,244.630005,175200
2005-11-30,244.500000,244.500000,239.029999,239.229996,239.229996,180800
2005-12-01,238.649994,246.320007,238.630005,245.690002,245.690002,220400
2005-12-02,245.619995,245.910004,240.910004,241.500000,241.500000,190000
2005-12-05,241.699997,243.770004,239.970001,242.339996,242.339996,171600
2005-12-06,242.279999,249.360001,240.330002,248.410004,248.410004,241400
2005-12-07,248.360001,255.320007,248.360001,252.669998,252.669998,293000
2005-12-08,252.729996,258.279999,252.729996,257.440002,257.440002,250400
2005-12-09,257.470001,261.230011,254.559998,254.860001,254.860001,310600
2005-12-12,255.000000,262.880005,253.649994,254.979996,254.979996,392200
2005-12-13,254.860001,255.300003,250.830002,254.240005,254.240005,224800
2005-12-14,254.220001,254.229996,247.350006,247.729996,247.729996,230000
2005-12-15,247.770004,251.589996,247.669998,249.679993,249.679993,175600
2005-12-16,249.649994,252.809998,249.649994,252.380005,252.380005,207800
2005-12-19,252.369995,256.739990,249.800003,249.880005,249.880005,160000
2005-12-20,249.979996,252.009995,244.919998,246.779999,246.779999,179200
2005-12-21,246.779999,252.509995,245.410004,252.509995,252.509995,170800
2005-12-22,252.520004,257.540009,252.520004,257.350006,257.350006,298800
2005-12-23,257.339996,259.209991,256.829987,257.149994,257.149994,148000
2005-12-27,257.200012,260.480011,255.699997,255.880005,255.880005,130000
2005-12-28,255.929993,261.970001,255.929993,261.970001,261.970001,157200
2005-12-29,261.940002,266.380005,261.100006,266.290009,266.290009,159600
2005-12-30,266.239990,266.239990,262.720001,263.019989,263.019989,108200
2006-01-03,263.089996,279.040009,263.089996,279.029999,279.029999,334200
2006-01-04,279.109985,284.690002,278.070007,284.690002,284.690002,307600
2006-01-05,284.579987,284.579987,276.540009,278.579987,278.579987,231600
2006-01-06,278.649994,287.890015,278.649994,286.920013,286.920013,228600
2006-01-09,287.089996,290.059998,284.079987,286.690002,286.690002,234400
2006-01-10,286.549988,287.750000,281.070007,286.299988,286.299988,230800
2006-01-11,286.290009,287.709991,283.809998,285.869995,285.869995,182000
2006-01-12,285.809998,286.540009,281.359985,282.779999,282.779999,186200
2006-01-13,282.850006,291.600006,282.850006,291.600006,291.600006,244000
2006-01-17,291.679993,296.269989,290.079987,291.359985,291.359985,282800
2006-01-18,291.230011,291.230011,281.559998,282.250000,282.250000,280200
2006-01-19,282.420013,291.709991,282.420013,290.910004,290.910004,237400
2006-01-20,291.000000,295.220001,286.140015,286.980011,286.980011,344400
2006-01-23,287.059998,290.089996,284.160004,289.609985,289.609985,254800
2006-01-24,289.619995,290.100006,284.130005,289.829987,289.829987,222600
2006-01-25,289.820007,297.859985,289.820007,294.709991,294.709991,213400
2006-01-26,294.709991,298.079987,291.239990,298.040009,298.040009,190400
2006-01-27,298.049988,303.420013,297.670013,299.519989,299.519989,198200
2006-01-30,299.399994,305.119995,299.299988,305.119995,305.119995,205800
2006-01-31,305.200012,318.670013,304.809998,314.070007,314.070007,350800
2006-02-01,314.049988,315.950012,307.339996,313.209991,313.209991,226600
2006-02-02,313.049988,315.070007,305.679993,309.170013,309.170013,275400
2006-02-03,309.119995,309.130005,299.420013,300.559998,300.559998,219400
2006-02-06,300.619995,308.410004,300.600006,308.410004,308.410004,191800
2006-02-07,308.309998,308.309998,286.480011,287.410004,287.410004,327200
2006-02-08,287.329987,291.299988,283.260010,286.390015,286.390015,240400
2006-02-09,286.529999,296.399994,286.529999,290.250000,290.250000,219800
2006-02-10,290.179993,290.760010,277.390015,280.940002,280.940002,301400
2006-02-13,280.929993,281.369995,271.630005,273.890015,273.890015,238000
2006-02-14,273.920013,280.779999,272.519989,279.350006,279.350006,220200
2006-02-15,279.200012,282.089996,270.730011,272.690002,272.690002,231000
2006-02-16,272.750000,280.989990,271.750000,279.570007,279.570007,193200
2006-02-17,279.540009,287.609985,279.540009,282.880005,282.880005,214000
2006-02-21,282.989990,289.000000,282.980011,286.040009,286.040009,182000
2006-02-22,286.010010,288.660004,283.209991,288.179993,288.179993,150400
2006-02-23,288.190002,288.250000,277.750000,278.109985,278.109985,204600
2006-02-24,278.220001,285.630005,278.220001,285.630005,285.630005,201800
2006-02-27,285.600006,285.619995,275.339996,275.829987,275.829987,189200
2006-02-28,275.859985,275.950012,269.829987,271.609985,271.609985,263400
2006-03-01,271.619995,276.980011,271.619995,275.559998,275.559998,199600
2006-03-02,275.619995,284.679993,273.000000,282.380005,282.380005,328200
2006-03-03,282.440002,282.450012,278.029999,279.119995,279.119995,224600
2006-03-06,279.260010,279.989990,267.179993,270.929993,270.929993,280400
2006-03-07,270.940002,270.940002,261.609985,264.059998,264.059998,252800
2006-03-08,263.970001,263.970001,253.610001,258.160004,258.160004,377400
2006-03-09,258.230011,263.839996,252.830002,253.139999,253.139999,257700
2006-03-10,253.190002,259.339996,247.619995,258.250000,258.250000,268600
2006-03-13,258.320007,262.140015,256.429993,260.230011,260.230011,171000
2006-03-14,260.190002,265.970001,259.079987,265.079987,265.079987,187000
2006-03-15,264.989990,269.579987,264.989990,269.230011,269.230011,160000
2006-03-16,269.149994,270.700012,264.769989,267.309998,267.309998,189600
2006-03-17,267.350006,270.269989,267.049988,268.269989,268.269989,196200
2006-03-20,268.130005,271.040009,265.850006,265.850006,265.850006,141400
2006-03-21,265.839996,265.839996,259.880005,260.559998,260.559998,188400
2006-03-22,260.630005,262.739990,260.190002,260.350006,260.350006,133700
2006-03-23,260.309998,263.779999,258.089996,263.779999,263.779999,175400
2006-03-24,263.799988,270.950012,263.799988,269.559998,269.559998,215200
2006-03-27,269.600006,278.630005,269.600006,276.750000,276.750000,261800
2006-03-28,276.859985,278.809998,271.510010,271.519989,271.519989,194200
2006-03-29,271.600006,280.980011,271.600006,280.980011,280.980011,178800
