"Date","Price","Open","High","Low","Change %"
"Dec 29, 1989","7.933","7.933","7.933","7.933","0.35%"
"Dec 28, 1989","7.905","7.905","7.905","7.905","-0.42%"
"Dec 27, 1989","7.938","7.938","7.938","7.938","-0.05%"
"Dec 26, 1989","7.942","7.942","7.942","7.942","1.77%"
"Dec 22, 1989","7.804","7.804","7.804","7.804","0.41%"
"Dec 21, 1989","7.772","7.772","7.772","7.772","0.12%"
"Dec 20, 1989","7.763","7.763","7.763","7.763","-0.18%"
"Dec 19, 1989","7.777","7.777","7.777","7.777","0.23%"
"Dec 18, 1989","7.759","7.759","7.759","7.759","-0.59%"
"Dec 15, 1989","7.805","7.805","7.805","7.805","0.24%"
"Dec 14, 1989","7.786","7.786","7.786","7.786","-0.47%"
"Dec 13, 1989","7.823","7.823","7.823","7.823","-0.11%"
"Dec 12, 1989","7.832","7.832","7.832","7.832","0.00%"
"Dec 11, 1989","7.832","7.832","7.832","7.832","0.12%"
"Dec 08, 1989","7.823","7.823","7.823","7.823","-0.65%"
"Dec 07, 1989","7.874","7.874","7.874","7.874","0.77%"
"Dec 05, 1989","7.814","7.814","7.814","7.814","0.00%"
"Dec 04, 1989","7.814","7.814","7.814","7.814","0.00%"
"Dec 01, 1989","7.814","7.814","7.814","7.814","-0.31%"
"Nov 30, 1989","7.838","7.838","7.838","7.838","-0.46%"
"Nov 29, 1989","7.874","7.874","7.874","7.874","0.29%"
"Nov 28, 1989","7.851","7.851","7.851","7.851","0.00%"
"Nov 27, 1989","7.851","7.851","7.851","7.851","0.69%"
"Nov 24, 1989","7.797","7.797","7.797","7.797","-0.12%"
"Nov 22, 1989","7.806","7.806","7.806","7.806","-0.52%"
"Nov 21, 1989","7.847","7.847","7.847","7.847","-0.23%"
"Nov 20, 1989","7.865","7.865","7.865","7.865","-0.18%"
"Nov 17, 1989","7.879","7.879","7.879","7.879","0.81%"
"Nov 15, 1989","7.816","7.816","7.816","7.816","-0.86%"
"Nov 14, 1989","7.884","7.884","7.884","7.884","-0.37%"
"Nov 10, 1989","7.913","7.913","7.913","7.913","0.05%"
"Nov 09, 1989","7.909","7.909","7.909","7.909","0.24%"
"Nov 07, 1989","7.890","7.890","7.890","7.890","-1.34%"
"Nov 06, 1989","7.997","7.997","7.997","7.997","0.59%"
"Nov 03, 1989","7.950","7.950","7.950","7.950","0.34%"
"Oct 31, 1989","7.923","7.923","7.923","7.923","0.06%"
"Oct 30, 1989","7.918","7.918","7.918","7.918","-0.24%"
"Oct 27, 1989","7.937","7.937","7.937","7.937","0.65%"
"Oct 26, 1989","7.886","7.886","7.886","7.886","0.29%"
"Oct 25, 1989","7.863","7.863","7.863","7.863","0.06%"
"Oct 24, 1989","7.858","7.858","7.858","7.858","-0.71%"
"Oct 23, 1989","7.914","7.914","7.914","7.914","-0.75%"
"Oct 20, 1989","7.974","7.974","7.974","7.974","0.35%"
"Oct 19, 1989","7.946","7.946","7.946","7.946","-0.64%"
"Oct 18, 1989","7.997","7.997","7.997","7.997","0.23%"
"Oct 17, 1989","7.979","7.979","7.979","7.979","0.00%"
"Oct 16, 1989","7.979","7.979","7.979","7.979","1.59%"
"Oct 13, 1989","7.854","7.854","7.854","7.854","-2.19%"
"Oct 12, 1989","8.030","8.030","8.030","8.030","-0.46%"
"Oct 11, 1989","8.067","8.067","8.067","8.067","0.57%"
"Oct 10, 1989","8.021","8.021","8.021","8.021","-0.05%"
"Oct 06, 1989","8.025","8.025","8.025","8.025","-1.56%"
"Oct 05, 1989","8.152","8.152","8.152","8.152","-0.68%"
"Oct 04, 1989","8.208","8.208","8.208","8.208","-0.29%"
"Oct 03, 1989","8.232","8.232","8.232","8.232","-0.69%"
"Oct 02, 1989","8.289","8.289","8.289","8.289","-0.17%"
"Sep 29, 1989","8.303","8.303","8.303","8.303","0.11%"
"Sep 28, 1989","8.294","8.294","8.294","8.294","0.00%"
"Sep 27, 1989","8.294","8.294","8.294","8.294","0.06%"
