"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 25, 2020","13,740.00","13,740.00","13,740.00","13,740.00","-","-1.08%"
"Sep 24, 2020","13,890.00","13,890.00","13,890.00","13,890.00","-","-0.71%"
"Sep 23, 2020","13,990.00","13,990.00","13,990.00","13,990.00","-","-1.41%"
"Sep 22, 2020","14,190.00","14,190.00","14,190.00","14,190.00","-","0.00%"
"Sep 21, 2020","14,190.00","14,190.00","14,190.00","14,190.00","-","-0.70%"
"Sep 18, 2020","14,290.00","14,290.00","14,290.00","14,290.00","-","-1.38%"
"Sep 17, 2020","14,490.00","14,490.00","14,490.00","14,490.00","-","0.00%"
"Sep 16, 2020","14,490.00","14,490.00","14,490.00","14,490.00","-","0.69%"
"Sep 15, 2020","14,390.00","14,390.00","14,390.00","14,390.00","-","5.11%"
"Sep 14, 2020","13,690.00","13,690.00","13,690.00","13,690.00","-","3.01%"
"Sep 11, 2020","13,290.00","13,290.00","13,290.00","13,290.00","-","0.00%"
"Sep 10, 2020","13,290.00","13,290.00","13,290.00","13,290.00","-","0.00%"
"Sep 09, 2020","13,290.00","13,290.00","13,290.00","13,290.00","-","0.00%"
"Sep 08, 2020","13,290.00","13,290.00","13,290.00","13,290.00","-","0.00%"
"Sep 07, 2020","13,290.00","13,290.00","13,290.00","13,290.00","-","0.00%"
"Sep 04, 2020","13,290.00","13,290.00","13,290.00","13,290.00","-","2.31%"
"Sep 03, 2020","12,990.00","12,990.00","12,990.00","12,990.00","-","4.84%"
"Sep 02, 2020","12,390.00","12,390.00","12,390.00","12,390.00","-","1.64%"
"Sep 01, 2020","12,190.00","12,190.00","12,190.00","12,190.00","-","0.00%"
"Aug 28, 2020","12,190.00","12,190.00","12,190.00","12,190.00","-","0.00%"
"Aug 27, 2020","12,190.00","12,190.00","12,190.00","12,190.00","-","-0.81%"
"Aug 26, 2020","12,290.00","12,290.00","12,290.00","12,290.00","-","-0.81%"
"Aug 25, 2020","12,390.00","12,390.00","12,390.00","12,390.00","-","-0.80%"
"Aug 24, 2020","12,490.00","12,490.00","12,490.00","12,490.00","-","0.00%"
"Aug 21, 2020","12,490.00","12,490.00","12,490.00","12,490.00","-","0.00%"
"Aug 20, 2020","12,490.00","12,490.00","12,490.00","12,490.00","-","2.46%"
"Aug 19, 2020","12,190.00","12,190.00","12,190.00","12,190.00","-","1.67%"
"Aug 18, 2020","11,990.00","11,990.00","11,990.00","11,990.00","-","4.81%"
"Aug 17, 2020","11,440.00","11,440.00","11,440.00","11,440.00","-","2.23%"
"Aug 14, 2020","11,190.00","11,190.00","11,190.00","11,190.00","-","2.05%"
"Aug 13, 2020","10,965.00","10,965.00","10,965.00","10,965.00","-","0.00%"
"Aug 12, 2020","10,965.00","10,965.00","10,965.00","10,965.00","-","0.00%"
"Aug 11, 2020","10,965.00","10,965.00","10,965.00","10,965.00","-","7.61%"
"Aug 10, 2020","10,190.00","10,190.00","10,190.00","10,190.00","-","4.62%"
"Aug 07, 2020","9,740.00","9,740.00","9,740.00","9,740.00","-","5.98%"
"Aug 06, 2020","9,190.00","9,190.00","9,190.00","9,190.00","-","2.80%"
"Aug 05, 2020","8,940.00","8,940.00","8,940.00","8,940.00","-","0.56%"
"Aug 04, 2020","8,890.00","8,890.00","8,890.00","8,890.00","-","0.00%"
"Aug 03, 2020","8,890.00","8,890.00","8,890.00","8,890.00","-","0.00%"
"Jul 31, 2020","8,890.00","8,890.00","8,890.00","8,890.00","-","-0.28%"
"Jul 30, 2020","8,915.00","8,915.00","8,915.00","8,915.00","-","0.85%"
"Jul 29, 2020","8,840.00","8,840.00","8,840.00","8,840.00","-","1.14%"
"Jul 28, 2020","8,740.00","8,740.00","8,740.00","8,740.00","-","0.87%"
"Jul 27, 2020","8,665.00","8,665.00","8,665.00","8,665.00","-","-0.57%"
"Jul 24, 2020","8,715.00","8,715.00","8,715.00","8,715.00","-","-1.41%"
"Jul 23, 2020","8,840.00","8,840.00","8,840.00","8,840.00","-","-0.56%"
"Jul 22, 2020","8,890.00","8,890.00","8,890.00","8,890.00","-","0.00%"
"Jul 21, 2020","8,890.00","8,890.00","8,890.00","8,890.00","-","1.14%"
"Jul 20, 2020","8,790.00","8,790.00","8,790.00","8,790.00","-","1.15%"
"Jul 17, 2020","8,690.00","8,690.00","8,690.00","8,690.00","-","2.06%"
