Start Day,Start Month,Year,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),FEDFUNDS
1,8,1960,8,31,1/8/1960,31/8/1960,1/8/1960,31/8/1960,2.98
1,9,1960,9,30,1/9/1960,30/9/1960,1/9/1960,30/9/1960,2.6
1,10,1960,10,31,1/10/1960,31/10/1960,3/10/1960,31/10/1960,2.47
1,11,1960,11,30,1/11/1960,30/11/1960,1/11/1960,30/11/1960,2.44
1,12,1960,12,31,1/12/1960,31/12/1960,1/12/1960,30/12/1960,1.98
1,1,1961,1,31,1/1/1961,31/1/1961,2/1/1961,31/1/1961,1.45
1,2,1961,2,28,1/2/1961,28/2/1961,1/2/1961,28/2/1961,2.54
1,3,1961,3,31,1/3/1961,31/3/1961,1/3/1961,31/3/1961,2.02
1,4,1961,4,30,1/4/1961,30/4/1961,3/4/1961,28/4/1961,1.49
1,5,1961,5,31,1/5/1961,31/5/1961,1/5/1961,31/5/1961,1.98
1,6,1961,6,30,1/6/1961,30/6/1961,1/6/1961,30/6/1961,1.73
1,7,1961,7,31,1/7/1961,31/7/1961,3/7/1961,31/7/1961,1.17
1,8,1961,8,31,1/8/1961,31/8/1961,1/8/1961,31/8/1961,2
1,9,1961,9,30,1/9/1961,30/9/1961,1/9/1961,29/9/1961,1.88
1,10,1961,10,31,1/10/1961,31/10/1961,2/10/1961,31/10/1961,2.26
1,11,1961,11,30,1/11/1961,30/11/1961,1/11/1961,30/11/1961,2.61
1,12,1961,12,31,1/12/1961,31/12/1961,1/12/1961,29/12/1961,2.33
1,1,1962,1,31,1/1/1962,31/1/1962,1/1/1962,31/1/1962,2.15
1,2,1962,2,28,1/2/1962,28/2/1962,1/2/1962,28/2/1962,2.37
1,3,1962,3,31,1/3/1962,31/3/1962,1/3/1962,30/3/1962,2.85
1,4,1962,4,30,1/4/1962,30/4/1962,2/4/1962,30/4/1962,2.78
1,5,1962,5,31,1/5/1962,31/5/1962,1/5/1962,31/5/1962,2.36
1,6,1962,6,30,1/6/1962,30/6/1962,1/6/1962,29/6/1962,2.68
1,7,1962,7,31,1/7/1962,31/7/1962,2/7/1962,31/7/1962,2.71
1,8,1962,8,31,1/8/1962,31/8/1962,1/8/1962,31/8/1962,2.93
1,9,1962,9,30,1/9/1962,30/9/1962,3/9/1962,28/9/1962,2.9
1,10,1962,10,31,1/10/1962,31/10/1962,1/10/1962,31/10/1962,2.9
1,11,1962,11,30,1/11/1962,30/11/1962,1/11/1962,30/11/1962,2.94
1,12,1962,12,31,1/12/1962,31/12/1962,3/12/1962,31/12/1962,2.93
1,1,1963,1,31,1/1/1963,31/1/1963,1/1/1963,31/1/1963,2.92
1,2,1963,2,28,1/2/1963,28/2/1963,1/2/1963,28/2/1963,3
1,3,1963,3,31,1/3/1963,31/3/1963,1/3/1963,29/3/1963,2.98
1,4,1963,4,30,1/4/1963,30/4/1963,1/4/1963,30/4/1963,2.9
1,5,1963,5,31,1/5/1963,31/5/1963,1/5/1963,31/5/1963,3
1,6,1963,6,30,1/6/1963,30/6/1963,3/6/1963,28/6/1963,2.99
1,7,1963,7,31,1/7/1963,31/7/1963,1/7/1963,31/7/1963,3.02
1,8,1963,8,31,1/8/1963,31/8/1963,1/8/1963,30/8/1963,3.49
1,9,1963,9,30,1/9/1963,30/9/1963,2/9/1963,30/9/1963,3.48
1,10,1963,10,31,1/10/1963,31/10/1963,1/10/1963,31/10/1963,3.5
1,11,1963,11,30,1/11/1963,30/11/1963,1/11/1963,29/11/1963,3.48
1,12,1963,12,31,1/12/1963,31/12/1963,2/12/1963,31/12/1963,3.38
1,1,1964,1,31,1/1/1964,31/1/1964,1/1/1964,31/1/1964,3.48
1,2,1964,2,29,1/2/1964,29/2/1964,3/2/1964,28/2/1964,3.48
1,3,1964,3,31,1/3/1964,31/3/1964,2/3/1964,31/3/1964,3.43
1,4,1964,4,30,1/4/1964,30/4/1964,1/4/1964,30/4/1964,3.47
1,5,1964,5,31,1/5/1964,31/5/1964,1/5/1964,29/5/1964,3.5
1,6,1964,6,30,1/6/1964,30/6/1964,1/6/1964,30/6/1964,3.5
1,7,1964,7,31,1/7/1964,31/7/1964,1/7/1964,31/7/1964,3.42
1,8,1964,8,31,1/8/1964,31/8/1964,3/8/1964,31/8/1964,3.5
1,9,1964,9,30,1/9/1964,30/9/1964,1/9/1964,30/9/1964,3.45
1,10,1964,10,31,1/10/1964,31/10/1964,1/10/1964,30/10/1964,3.36
1,11,1964,11,30,1/11/1964,30/11/1964,2/11/1964,30/11/1964,3.52
1,12,1964,12,31,1/12/1964,31/12/1964,1/12/1964,31/12/1964,3.85
1,1,1965,1,31,1/1/1965,31/1/1965,1/1/1965,29/1/1965,3.9
1,2,1965,2,28,1/2/1965,28/2/1965,1/2/1965,26/2/1965,3.98
1,3,1965,3,31,1/3/1965,31/3/1965,1/3/1965,31/3/1965,4.05
1,4,1965,4,30,1/4/1965,30/4/1965,1/4/1965,30/4/1965,4.09
1,5,1965,5,31,1/5/1965,31/5/1965,3/5/1965,31/5/1965,4.1
1,6,1965,6,30,1/6/1965,30/6/1965,1/6/1965,30/6/1965,4.05
1,7,1965,7,31,1/7/1965,31/7/1965,1/7/1965,30/7/1965,4.09
1,8,1965,8,31,1/8/1965,31/8/1965,2/8/1965,31/8/1965,4.12
1,9,1965,9,30,1/9/1965,30/9/1965,1/9/1965,30/9/1965,4.02
1,10,1965,10,31,1/10/1965,31/10/1965,1/10/1965,29/10/1965,4.08
1,11,1965,11,30,1/11/1965,30/11/1965,1/11/1965,30/11/1965,4.1
1,12,1965,12,31,1/12/1965,31/12/1965,1/12/1965,31/12/1965,4.32
1,1,1966,1,31,1/1/1966,31/1/1966,3/1/1966,31/1/1966,4.42
1,2,1966,2,28,1/2/1966,28/2/1966,1/2/1966,28/2/1966,4.6
1,3,1966,3,31,1/3/1966,31/3/1966,1/3/1966,31/3/1966,4.66
1,4,1966,4,30,1/4/1966,30/4/1966,1/4/1966,29/4/1966,4.67
1,5,1966,5,31,1/5/1966,31/5/1966,2/5/1966,31/5/1966,4.9
1,6,1966,6,30,1/6/1966,30/6/1966,1/6/1966,30/6/1966,5.17
1,7,1966,7,31,1/7/1966,31/7/1966,1/7/1966,29/7/1966,5.3
1,8,1966,8,31,1/8/1966,31/8/1966,1/8/1966,31/8/1966,5.53
1,9,1966,9,30,1/9/1966,30/9/1966,1/9/1966,30/9/1966,5.4
1,10,1966,10,31,1/10/1966,31/10/1966,3/10/1966,31/10/1966,5.53
1,11,1966,11,30,1/11/1966,30/11/1966,1/11/1966,30/11/1966,5.76
1,12,1966,12,31,1/12/1966,31/12/1966,1/12/1966,30/12/1966,5.4
1,1,1967,1,31,1/1/1967,31/1/1967,2/1/1967,31/1/1967,4.94
1,2,1967,2,28,1/2/1967,28/2/1967,1/2/1967,28/2/1967,5
1,3,1967,3,31,1/3/1967,31/3/1967,1/3/1967,31/3/1967,4.53
1,4,1967,4,30,1/4/1967,30/4/1967,3/4/1967,28/4/1967,4.05
1,5,1967,5,31,1/5/1967,31/5/1967,1/5/1967,31/5/1967,3.94
1,6,1967,6,30,1/6/1967,30/6/1967,1/6/1967,30/6/1967,3.98
1,7,1967,7,31,1/7/1967,31/7/1967,3/7/1967,31/7/1967,3.79
1,8,1967,8,31,1/8/1967,31/8/1967,1/8/1967,31/8/1967,3.9
1,9,1967,9,30,1/9/1967,30/9/1967,1/9/1967,29/9/1967,3.99
1,10,1967,10,31,1/10/1967,31/10/1967,2/10/1967,31/10/1967,3.88
1,11,1967,11,30,1/11/1967,30/11/1967,1/11/1967,30/11/1967,4.13
1,12,1967,12,31,1/12/1967,31/12/1967,1/12/1967,29/12/1967,4.51
1,1,1968,1,31,1/1/1968,31/1/1968,1/1/1968,31/1/1968,4.61
1,2,1968,2,29,1/2/1968,29/2/1968,1/2/1968,29/2/1968,4.71
1,3,1968,3,31,1/3/1968,31/3/1968,1/3/1968,29/3/1968,5.05
1,4,1968,4,30,1/4/1968,30/4/1968,1/4/1968,30/4/1968,5.76
1,5,1968,5,31,1/5/1968,31/5/1968,1/5/1968,31/5/1968,6.12
1,6,1968,6,30,1/6/1968,30/6/1968,3/6/1968,28/6/1968,6.07
1,7,1968,7,31,1/7/1968,31/7/1968,1/7/1968,31/7/1968,6.03
1,8,1968,8,31,1/8/1968,31/8/1968,1/8/1968,30/8/1968,6.03
1,9,1968,9,30,1/9/1968,30/9/1968,2/9/1968,30/9/1968,5.78
1,10,1968,10,31,1/10/1968,31/10/1968,1/10/1968,31/10/1968,5.91
1,11,1968,11,30,1/11/1968,30/11/1968,1/11/1968,29/11/1968,5.82
1,12,1968,12,31,1/12/1968,31/12/1968,2/12/1968,31/12/1968,6.02
1,1,1969,1,31,1/1/1969,31/1/1969,1/1/1969,31/1/1969,6.3
1,2,1969,2,28,1/2/1969,28/2/1969,3/2/1969,28/2/1969,6.61
1,3,1969,3,31,1/3/1969,31/3/1969,3/3/1969,31/3/1969,6.79
1,4,1969,4,30,1/4/1969,30/4/1969,1/4/1969,30/4/1969,7.41
1,5,1969,5,31,1/5/1969,31/5/1969,1/5/1969,30/5/1969,8.67
1,6,1969,6,30,1/6/1969,30/6/1969,2/6/1969,30/6/1969,8.9
1,7,1969,7,31,1/7/1969,31/7/1969,1/7/1969,31/7/1969,8.61
1,8,1969,8,31,1/8/1969,31/8/1969,1/8/1969,29/8/1969,9.19
1,9,1969,9,30,1/9/1969,30/9/1969,1/9/1969,30/9/1969,9.15
1,10,1969,10,31,1/10/1969,31/10/1969,1/10/1969,31/10/1969,9
1,11,1969,11,30,1/11/1969,30/11/1969,3/11/1969,28/11/1969,8.85
1,12,1969,12,31,1/12/1969,31/12/1969,1/12/1969,31/12/1969,8.97
1,1,1970,1,31,1/1/1970,31/1/1970,1/1/1970,30/1/1970,8.98
1,2,1970,2,28,1/2/1970,28/2/1970,2/2/1970,27/2/1970,8.98
1,3,1970,3,31,1/3/1970,31/3/1970,2/3/1970,31/3/1970,7.76
1,4,1970,4,30,1/4/1970,30/4/1970,1/4/1970,30/4/1970,8.1
1,5,1970,5,31,1/5/1970,31/5/1970,1/5/1970,29/5/1970,7.95
1,6,1970,6,30,1/6/1970,30/6/1970,1/6/1970,30/6/1970,7.61
1,7,1970,7,31,1/7/1970,31/7/1970,1/7/1970,31/7/1970,7.21
1,8,1970,8,31,1/8/1970,31/8/1970,3/8/1970,31/8/1970,6.62
1,9,1970,9,30,1/9/1970,30/9/1970,1/9/1970,30/9/1970,6.29
1,10,1970,10,31,1/10/1970,31/10/1970,1/10/1970,30/10/1970,6.2
1,11,1970,11,30,1/11/1970,30/11/1970,2/11/1970,30/11/1970,5.6
1,12,1970,12,31,1/12/1970,31/12/1970,1/12/1970,31/12/1970,4.9
1,1,1971,1,31,1/1/1971,31/1/1971,1/1/1971,29/1/1971,4.14
1,2,1971,2,28,1/2/1971,28/2/1971,1/2/1971,26/2/1971,3.72
1,3,1971,3,31,1/3/1971,31/3/1971,1/3/1971,31/3/1971,3.71
1,4,1971,4,30,1/4/1971,30/4/1971,1/4/1971,30/4/1971,4.16
1,5,1971,5,31,1/5/1971,31/5/1971,3/5/1971,31/5/1971,4.63
1,6,1971,6,30,1/6/1971,30/6/1971,1/6/1971,30/6/1971,4.91
1,7,1971,7,31,1/7/1971,31/7/1971,1/7/1971,30/7/1971,5.31
1,8,1971,8,31,1/8/1971,31/8/1971,2/8/1971,31/8/1971,5.57
1,9,1971,9,30,1/9/1971,30/9/1971,1/9/1971,30/9/1971,5.55
1,10,1971,10,31,1/10/1971,31/10/1971,1/10/1971,29/10/1971,5.2
1,11,1971,11,30,1/11/1971,30/11/1971,1/11/1971,30/11/1971,4.91
1,12,1971,12,31,1/12/1971,31/12/1971,1/12/1971,31/12/1971,4.14
1,1,1972,1,31,1/1/1972,31/1/1972,3/1/1972,31/1/1972,3.51
1,2,1972,2,29,1/2/1972,29/2/1972,1/2/1972,29/2/1972,3.3
