Date,Price,Open,High,Low,Change %
2009-12-31,1.4318,1.4339,1.4442,1.4306,-0.12%
2009-12-30,1.4335,1.4352,1.4364,1.4274,-0.13%
2009-12-29,1.4354,1.4377,1.446,1.4332,-0.20%
2009-12-28,1.4383,1.4376,1.4415,1.4354,-0.10%
2009-12-25,1.4397,1.4376,1.4436,1.4363,0.15%
2009-12-24,1.4375,1.4335,1.4419,1.4322,0.34%
2009-12-23,1.4327,1.4251,1.4367,1.4234,0.54%
2009-12-22,1.425,1.4283,1.4333,1.4217,-0.24%
2009-12-21,1.4284,1.4305,1.4374,1.4267,-0.41%
2009-12-18,1.4343,1.4339,1.4413,1.4259,-0.01%
2009-12-17,1.4345,1.4535,1.4537,1.4303,-1.32%
2009-12-16,1.4537,1.4535,1.459,1.4503,0.01%
2009-12-15,1.4536,1.4658,1.4666,1.4504,-0.82%
2009-12-14,1.4656,1.4625,1.4686,1.4597,0.23%
2009-12-11,1.4623,1.4733,1.4777,1.4585,-0.76%
2009-12-10,1.4735,1.4726,1.4762,1.4685,0.05%
2009-12-09,1.4727,1.4706,1.4785,1.467,0.19%
2009-12-08,1.4699,1.4821,1.4867,1.468,-0.81%
2009-12-07,1.4819,1.4853,1.4905,1.4756,-0.22%
2009-12-04,1.4851,1.505,1.5091,1.4819,-1.45%
2009-12-03,1.507,1.5044,1.5143,1.5042,0.16%
2009-12-02,1.5046,1.5084,1.5111,1.5031,-0.28%
2009-12-01,1.5088,1.5006,1.5118,1.497,0.53%
2009-11-30,1.5009,1.5011,1.5085,1.4964,0.28%
2009-11-27,1.4967,1.5021,1.5024,1.4828,-0.31%
2009-11-26,1.5013,1.5132,1.5143,1.4958,-0.84%
2009-11-25,1.514,1.496,1.5145,1.4954,1.20%
2009-11-24,1.4961,1.4965,1.499,1.4888,-0.03%
2009-11-23,1.4966,1.4859,1.5002,1.4832,0.71%
2009-11-20,1.4861,1.4924,1.4937,1.4798,-0.38%
2009-11-19,1.4918,1.4962,1.4966,1.484,-0.31%
2009-11-18,1.4965,1.4875,1.4991,1.4857,0.66%
2009-11-17,1.4867,1.4971,1.5,1.4806,-0.71%
2009-11-16,1.4973,1.4924,1.5017,1.488,0.38%
2009-11-13,1.4917,1.4848,1.4939,1.4826,0.50%
2009-11-12,1.4843,1.498,1.5017,1.482,-0.93%
2009-11-11,1.4983,1.4985,1.505,1.4953,0.00%
2009-11-10,1.4983,1.4996,1.5021,1.4937,-0.07%
2009-11-09,1.4994,1.4884,1.5021,1.4851,0.98%
2009-11-06,1.4849,1.4869,1.4915,1.4813,-0.22%
2009-11-05,1.4881,1.4871,1.4918,1.4808,0.02%
2009-11-04,1.4878,1.4731,1.4909,1.4701,1.11%
2009-11-03,1.4715,1.4772,1.4811,1.4624,-0.37%
2009-11-02,1.4769,1.4713,1.4846,1.4684,0.35%
2009-10-30,1.4718,1.4835,1.4861,1.4704,-0.78%
2009-10-29,1.4834,1.4714,1.4859,1.4682,0.83%
2009-10-28,1.4712,1.4813,1.4843,1.4692,-0.66%
2009-10-27,1.4809,1.4862,1.4928,1.477,-0.41%
2009-10-26,1.487,1.5,1.5063,1.4844,-0.89%
2009-10-23,1.5003,1.5024,1.5063,1.4987,-0.13%
2009-10-22,1.5023,1.5,1.504,1.4943,0.09%
2009-10-21,1.501,1.4934,1.5048,1.4888,0.48%
2009-10-20,1.4939,1.4973,1.4994,1.4882,-0.17%
2009-10-19,1.4964,1.4893,1.4979,1.4829,0.39%
2009-10-16,1.4906,1.4945,1.497,1.4848,-0.26%
2009-10-15,1.4945,1.4935,1.4968,1.4842,0.13%
2009-10-14,1.4926,1.4854,1.4948,1.4839,0.45%
2009-10-13,1.4859,1.4781,1.4878,1.476,0.58%
2009-10-12,1.4773,1.4724,1.4815,1.4678,0.29%
2009-10-09,1.473,1.4794,1.4798,1.4675,-0.41%
2009-10-08,1.479,1.4688,1.4817,1.468,0.69%
2009-10-07,1.4688,1.4718,1.4739,1.4652,-0.20%
2009-10-06,1.4718,1.4648,1.4766,1.4646,0.46%
2009-10-05,1.465,1.4592,1.4671,1.4581,0.54%
2009-10-02,1.4572,1.4534,1.465,1.4482,0.27%
2009-10-01,1.4533,1.4638,1.467,1.4518,-0.70%
2009-09-30,1.4636,1.4583,1.4674,1.4575,0.35%
2009-09-29,1.4585,1.4619,1.4646,1.4526,-0.25%
2009-09-28,1.4621,1.4699,1.4722,1.456,-0.46%
2009-09-25,1.4688,1.4664,1.4726,1.4614,0.18%
2009-09-24,1.4661,1.471,1.4806,1.4628,-0.48%
2009-09-23,1.4731,1.479,1.4844,1.4725,-0.40%
2009-09-22,1.479,1.4679,1.4825,1.4677,0.78%
2009-09-21,1.4675,1.4689,1.4714,1.4607,-0.24%
2009-09-18,1.471,1.4744,1.4747,1.4648,-0.20%
2009-09-17,1.4739,1.4707,1.4768,1.4686,0.18%
2009-09-16,1.4712,1.4658,1.4738,1.4642,0.35%
2009-09-15,1.4661,1.4629,1.4688,1.4561,0.25%
2009-09-14,1.4624,1.4596,1.4653,1.4515,0.37%
2009-09-11,1.457,1.4577,1.4637,1.4555,-0.06%
2009-09-10,1.4579,1.4571,1.4615,1.4501,0.12%
2009-09-09,1.4561,1.4488,1.4602,1.4465,0.52%
2009-09-08,1.4485,1.4335,1.4538,1.4329,1.05%
2009-09-07,1.4335,1.431,1.4362,1.4301,0.29%
2009-09-04,1.4293,1.426,1.433,1.4191,0.27%
2009-09-03,1.4254,1.4265,1.435,1.4236,-0.07%
2009-09-02,1.4264,1.4217,1.4296,1.4191,0.30%
2009-09-01,1.4221,1.4332,1.4379,1.4177,-0.77%
2009-08-31,1.4331,1.4306,1.4369,1.4255,0.22%
2009-08-28,1.4299,1.4346,1.4391,1.4282,-0.36%
2009-08-27,1.4351,1.4244,1.4405,1.4218,0.71%
2009-08-26,1.425,1.4303,1.4351,1.4206,-0.34%
2009-08-25,1.4298,1.4299,1.4364,1.4254,-0.03%
2009-08-24,1.4303,1.4344,1.4362,1.4281,-0.14%
2009-08-21,1.4323,1.4249,1.4378,1.421,0.51%
2009-08-20,1.425,1.4234,1.4278,1.4201,0.10%
2009-08-19,1.4236,1.4133,1.4269,1.4083,0.73%
2009-08-18,1.4133,1.4074,1.4156,1.4067,0.39%
2009-08-17,1.4078,1.4186,1.4194,1.4045,-0.89%
2009-08-14,1.4205,1.4283,1.4309,1.4161,-0.59%
2009-08-13,1.4289,1.4204,1.433,1.4202,0.61%
2009-08-12,1.4203,1.4148,1.4248,1.4084,0.40%
2009-08-11,1.4146,1.4146,1.4186,1.411,0.00%
2009-08-10,1.4146,1.4175,1.4219,1.4103,-0.30%
2009-08-07,1.4188,1.4356,1.4417,1.4155,-1.12%
2009-08-06,1.4348,1.4416,1.4433,1.4329,-0.44%
2009-08-05,1.4412,1.4394,1.4449,1.4357,0.08%
2009-08-04,1.44,1.4417,1.4434,1.4367,-0.12%
2009-08-03,1.4418,1.4268,1.4447,1.4206,1.18%
2009-07-31,1.425,1.4067,1.4282,1.4065,1.25%
2009-07-30,1.4074,1.4036,1.4097,1.4007,0.26%
2009-07-29,1.4037,1.4174,1.4197,1.4007,-0.99%
2009-07-28,1.4177,1.4242,1.4303,1.4127,-0.48%
2009-07-27,1.4245,1.4226,1.4301,1.4171,0.28%
2009-07-24,1.4205,1.416,1.4256,1.4136,0.32%
2009-07-23,1.416,1.4206,1.4292,1.4119,-0.36%
2009-07-22,1.4211,1.422,1.426,1.4155,-0.01%
2009-07-21,1.4213,1.4223,1.4278,1.4162,-0.11%
2009-07-20,1.4228,1.4116,1.4251,1.4109,0.91%
2009-07-17,1.4099,1.4145,1.415,1.4063,-0.35%
2009-07-16,1.4148,1.4102,1.4167,1.4055,0.30%
2009-07-15,1.4106,1.3969,1.4135,1.3962,0.97%
2009-07-14,1.397,1.3981,1.4017,1.3911,-0.06%
2009-07-13,1.3979,1.3946,1.4002,1.3897,0.33%
2009-07-10,1.3933,1.4024,1.4033,1.3879,-0.66%
2009-07-09,1.4026,1.3874,1.4074,1.3857,1.07%
2009-07-08,1.3877,1.3918,1.3939,1.3831,-0.32%
2009-07-07,1.3922,1.3978,1.4053,1.3902,-0.38%
2009-07-06,1.3975,1.3956,1.4,1.3876,0.08%
2009-07-03,1.3964,1.3938,1.403,1.3937,0.16%
2009-07-02,1.3941,1.415,1.4156,1.3929,-1.49%
2009-07-01,1.4152,1.4034,1.4203,1.4001,0.83%
2009-06-30,1.4036,1.408,1.4154,1.4002,-0.28%
