"Date","Price","Open","High","Low","Change %"
"Dec 31, 2009","2.684","2.684","2.684","2.684","2.52%"
"Dec 30, 2009","2.618","2.618","2.618","2.618","1.79%"
"Dec 29, 2009","2.572","2.572","2.572","2.572","-1.11%"
"Dec 28, 2009","2.601","2.601","2.601","2.601","2.44%"
"Dec 24, 2009","2.539","2.539","2.539","2.539","2.21%"
"Dec 23, 2009","2.484","2.484","2.484","2.484","0.53%"
"Dec 22, 2009","2.471","2.471","2.471","2.471","3.04%"
"Dec 21, 2009","2.398","2.398","2.398","2.398","5.27%"
"Dec 18, 2009","2.278","2.278","2.278","2.278","2.75%"
"Dec 17, 2009","2.217","2.217","2.217","2.217","-5.18%"
"Dec 16, 2009","2.338","2.338","2.338","2.338","0.30%"
"Dec 15, 2009","2.331","2.331","2.331","2.331","1.66%"
"Dec 14, 2009","2.293","2.293","2.293","2.293","1.73%"
"Dec 11, 2009","2.254","2.254","2.254","2.254","2.92%"
"Dec 10, 2009","2.190","2.190","2.190","2.190","2.24%"
"Dec 09, 2009","2.142","2.142","2.142","2.142","1.42%"
"Dec 08, 2009","2.112","2.112","2.112","2.112","-2.90%"
"Dec 07, 2009","2.175","2.175","2.175","2.175","-3.25%"
"Dec 04, 2009","2.248","2.248","2.248","2.248","5.79%"
"Dec 03, 2009","2.125","2.125","2.125","2.125","1.97%"
"Dec 02, 2009","2.084","2.084","2.084","2.084","2.31%"
"Dec 01, 2009","2.037","2.037","2.037","2.037","1.70%"
"Nov 30, 2009","2.003","2.003","2.003","2.003","-1.52%"
"Nov 27, 2009","2.034","2.034","2.034","2.034","-3.56%"
"Nov 25, 2009","2.109","2.109","2.109","2.109","0.81%"
"Nov 24, 2009","2.092","2.092","2.092","2.092","-3.68%"
"Nov 23, 2009","2.172","2.172","2.172","2.172","-0.37%"
"Nov 20, 2009","2.180","2.180","2.180","2.180","1.30%"
"Nov 19, 2009","2.152","2.152","2.152","2.152","-2.05%"
"Nov 18, 2009","2.197","2.197","2.197","2.197","1.38%"
"Nov 17, 2009","2.167","2.167","2.167","2.167","-1.23%"
"Nov 16, 2009","2.194","2.194","2.194","2.194","-2.66%"
"Nov 13, 2009","2.254","2.254","2.254","2.254","0.00%"
"Nov 12, 2009","2.254","2.254","2.254","2.254","-1.79%"
"Nov 10, 2009","2.295","2.295","2.295","2.295","0.00%"
"Nov 09, 2009","2.295","2.295","2.295","2.295","-0.22%"
"Nov 06, 2009","2.300","2.300","2.300","2.300","-1.54%"
"Nov 05, 2009","2.336","2.336","2.336","2.336","-1.64%"
"Nov 04, 2009","2.375","2.375","2.375","2.375","0.98%"
"Nov 03, 2009","2.352","2.352","2.352","2.352","0.60%"
"Nov 02, 2009","2.338","2.338","2.338","2.338","1.08%"
"Oct 30, 2009","2.313","2.313","2.313","2.313","-5.28%"
"Oct 29, 2009","2.442","2.442","2.442","2.442","4.54%"
"Oct 28, 2009","2.336","2.336","2.336","2.336","-1.68%"
"Oct 27, 2009","2.376","2.376","2.376","2.376","-4.96%"
"Oct 26, 2009","2.500","2.500","2.500","2.500","2.08%"
"Oct 23, 2009","2.449","2.449","2.449","2.449","3.77%"
"Oct 22, 2009","2.360","2.360","2.360","2.360","0.60%"
"Oct 21, 2009","2.346","2.346","2.346","2.346","2.58%"
"Oct 20, 2009","2.287","2.287","2.287","2.287","-2.51%"
"Oct 19, 2009","2.346","2.346","2.346","2.346","-0.09%"
"Oct 16, 2009","2.348","2.348","2.348","2.348","-1.47%"
"Oct 15, 2009","2.383","2.383","2.383","2.383","2.01%"
"Oct 14, 2009","2.336","2.336","2.336","2.336","2.19%"
"Oct 13, 2009","2.286","2.286","2.286","2.286","-2.76%"
"Oct 09, 2009","2.351","2.351","2.351","2.351","5.85%"
"Oct 08, 2009","2.221","2.221","2.221","2.221","2.40%"
"Oct 07, 2009","2.169","2.169","2.169","2.169","-3.26%"
"Oct 06, 2009","2.242","2.242","2.242","2.242","1.59%"
"Oct 05, 2009","2.207","2.207","2.207","2.207","0.09%"
"Oct 02, 2009","2.205","2.205","2.205","2.205","0.96%"
"Oct 01, 2009","2.184","2.184","2.184","2.184","-5.58%"
"Sep 30, 2009","2.313","2.313","2.313","2.313","-1.28%"
"Sep 29, 2009","2.343","2.343","2.343","2.343","0.56%"
"Sep 28, 2009","2.330","2.330","2.330","2.330","-1.56%"
"Sep 25, 2009","2.367","2.367","2.367","2.367","-0.13%"
"Sep 24, 2009","2.370","2.370","2.370","2.370","0.00%"
"Sep 23, 2009","2.370","2.370","2.370","2.370","-1.86%"
"Sep 22, 2009","2.415","2.415","2.415","2.415","-1.55%"
"Sep 21, 2009","2.453","2.453","2.453","2.453","-0.20%"
"Sep 18, 2009","2.458","2.458","2.458","2.458","3.89%"
"Sep 17, 2009","2.366","2.366","2.366","2.366","-3.39%"
"Sep 16, 2009","2.449","2.449","2.449","2.449","2.38%"
"Sep 15, 2009","2.392","2.392","2.392","2.392","1.10%"
"Sep 14, 2009","2.366","2.366","2.366","2.366","2.82%"
"Sep 11, 2009","2.301","2.301","2.301","2.301","0.66%"
"Sep 10, 2009","2.286","2.286","2.286","2.286","-3.63%"
"Sep 09, 2009","2.372","2.372","2.372","2.372","-0.84%"
"Sep 08, 2009","2.392","2.392","2.392","2.392","1.44%"
"Sep 04, 2009","2.358","2.358","2.358","2.358","2.66%"
"Sep 03, 2009","2.297","2.297","2.297","2.297","1.50%"
"Sep 02, 2009","2.263","2.263","2.263","2.263","-2.54%"
"Sep 01, 2009","2.322","2.322","2.322","2.322","-2.72%"
"Aug 31, 2009","2.387","2.387","2.387","2.387","-2.57%"
"Aug 28, 2009","2.450","2.450","2.450","2.450","-1.29%"
"Aug 27, 2009","2.482","2.482","2.482","2.482","1.64%"
"Aug 26, 2009","2.442","2.442","2.442","2.442","0.00%"
"Aug 25, 2009","2.442","2.442","2.442","2.442","-1.49%"
"Aug 24, 2009","2.479","2.479","2.479","2.479","-3.35%"
"Aug 21, 2009","2.565","2.565","2.565","2.565","6.61%"
"Aug 20, 2009","2.406","2.406","2.406","2.406","-0.41%"
"Aug 19, 2009","2.416","2.416","2.416","2.416","-1.71%"
"Aug 18, 2009","2.458","2.458","2.458","2.458","1.86%"
"Aug 17, 2009","2.413","2.413","2.413","2.413","-3.67%"
"Aug 14, 2009","2.505","2.505","2.505","2.505","-2.30%"
"Aug 13, 2009","2.564","2.564","2.564","2.564","-4.01%"
"Aug 12, 2009","2.671","2.671","2.671","2.671","0.07%"
"Aug 11, 2009","2.669","2.669","2.669","2.669","-2.70%"
"Aug 10, 2009","2.743","2.743","2.743","2.743","-2.83%"
"Aug 07, 2009","2.823","2.823","2.823","2.823","4.21%"
"Aug 06, 2009","2.709","2.709","2.709","2.709","-0.77%"
"Aug 05, 2009","2.730","2.730","2.730","2.730","1.26%"
"Aug 04, 2009","2.696","2.696","2.696","2.696","1.35%"
"Aug 03, 2009","2.660","2.660","2.660","2.660","5.72%"
"Jul 31, 2009","2.516","2.516","2.516","2.516","-4.44%"
"Jul 30, 2009","2.633","2.633","2.633","2.633","-0.15%"
"Jul 29, 2009","2.637","2.637","2.637","2.637","1.31%"
"Jul 28, 2009","2.603","2.603","2.603","2.603","0.54%"
"Jul 27, 2009","2.589","2.589","2.589","2.589","2.33%"
"Jul 24, 2009","2.530","2.530","2.530","2.530","-0.32%"
"Jul 23, 2009","2.538","2.538","2.538","2.538","5.97%"
