"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 1990","93.21","93.19","93.31","93.08","-","0.00%"
"Dec 29, 1989","93.21","93.19","93.31","93.08","-","-0.06%"
"Dec 28, 1989","93.27","92.64","93.30","92.60","-","0.66%"
"Dec 27, 1989","92.66","92.95","93.00","92.65","-","-0.89%"
"Dec 26, 1989","93.49","93.23","93.49","93.16","-","0.00%"
"Dec 25, 1989","93.49","93.83","93.84","93.45","-","0.00%"
"Dec 22, 1989","93.49","93.83","93.84","93.45","-","-0.79%"
"Dec 21, 1989","94.23","94.54","94.55","94.11","-","-0.26%"
"Dec 20, 1989","94.48","95.11","95.18","94.33","-","-0.23%"
"Dec 19, 1989","94.70","94.60","94.77","94.47","-","0.58%"
"Dec 18, 1989","94.15","94.36","94.52","94.14","-","-0.06%"
"Dec 15, 1989","94.21","94.75","94.80","94.14","-","-0.52%"
"Dec 14, 1989","94.70","94.79","94.89","94.57","-","0.23%"
"Dec 13, 1989","94.48","94.27","94.94","94.10","-","-0.19%"
"Dec 12, 1989","94.66","95.22","95.30","94.56","-","-1.04%"
"Dec 11, 1989","95.65","95.97","96.02","95.58","-","-0.42%"
"Dec 08, 1989","96.05","96.02","96.21","95.75","-","0.00%"
"Dec 07, 1989","96.05","95.89","96.18","95.84","-","0.24%"
"Dec 06, 1989","95.82","96.23","96.24","95.75","-","-0.45%"
"Dec 05, 1989","96.25","96.58","96.61","96.16","-","-0.39%"
"Dec 04, 1989","96.63","96.41","96.65","96.35","-","0.06%"
"Dec 01, 1989","96.57","96.52","96.64","96.38","-","0.31%"
"Nov 30, 1989","96.27","96.58","96.58","96.19","-","-0.25%"
"Nov 29, 1989","96.51","96.37","96.77","96.21","-","0.20%"
"Nov 28, 1989","96.32","97.02","97.08","96.13","-","-0.42%"
"Nov 27, 1989","96.73","96.84","96.94","96.60","-","-0.42%"
"Nov 24, 1989","97.14","97.11","97.36","97.10","-","-0.35%"
"Nov 23, 1989","97.48","97.34","97.73","97.24","-","0.00%"
"Nov 22, 1989","97.48","97.34","97.73","97.24","-","0.00%"
"Nov 21, 1989","97.48","97.68","97.88","97.43","-","-0.81%"
"Nov 20, 1989","98.28","98.59","98.60","98.19","-","-0.10%"
"Nov 17, 1989","98.38","98.41","98.54","98.21","-","-0.03%"
"Nov 16, 1989","98.41","98.46","98.64","97.93","-","0.23%"
"Nov 15, 1989","98.18","98.11","98.37","98.06","-","0.35%"
"Nov 14, 1989","97.84","98.66","98.72","97.78","-","-0.96%"
"Nov 13, 1989","98.79","98.90","99.04","98.75","-","-0.19%"
"Nov 10, 1989","98.98","98.37","99.06","98.36","-","0.56%"
"Nov 09, 1989","98.43","98.11","98.43","97.98","-","0.31%"
"Nov 08, 1989","98.13","98.01","98.20","97.99","-","0.01%"
"Nov 07, 1989","98.12","98.22","98.31","98.03","-","-0.43%"
"Nov 06, 1989","98.54","98.56","98.62","98.37","-","0.21%"
"Nov 03, 1989","98.33","98.28","98.55","98.14","-","0.04%"
